2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Log saved in- logs/protocol_1_ViT-B-16_2024-11-19 22:37:20
2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Training cfgs- Namespace(aug_mix=0.6, backbone='ViT-B-16', batch_size=128, beta=0.1, checkpoint_period=60, classes=[1502, 11934, 1816, 1467], color_jitter=0.1, combine_all=True, data_path='/data/ReidShareDataset', device_id='1', epsilon=0.1, eval_period=10, gray_scale=0.1, image_encoder_epoch=60, image_encoder_lr=5e-06, lamda=0.01, log_path='logs', log_period=100, model='clip', num_instance=4, num_workers=8, omega=0.01, optimizer='Adam', pad=10, prior_epoch=3, prompt_domain_epoch=30, prompt_epoch=120, prompt_lr=0.00035, random_erasing=0.0, random_horizontal_flip=0.4, sampling_method='PK', size_train=[224, 224], train_datasets=['Market', 'cuhk_sysu', 'CUHK02', 'cuhk03'], weight_decay=0.0001)
2024-11-19 22:37:20,022 clip_ViT-B-16_train INFO: Running protocol- ['Market', 'cuhk_sysu', 'CUHK02', 'cuhk03']->['PRID', 'GRID', 'VIPeR', 'iLIDS']
2024-11-19 22:37:22,246 clip_ViT-B-16_train INFO: start stage-prior training
2024-11-19 23:07:33,766 clip_ViT-B-16_train INFO: STAGE1-Epoch[11] Iteration[500/689] Domain_Acc: 0.911 Loss: 0.416, Base Lr: 9.79e-03
2024-11-19 23:07:41,057 clip_ViT-B-16_train INFO: STAGE1-Epoch[11] Iteration[600/689] Domain_Acc: 0.911 Loss: 0.425, Base Lr: 9.79e-03
2024-11-19 23:07:54,792 clip_ViT-B-16_train INFO: STAGE1-Epoch[12] Iteration[100/689] Domain_Acc: 0.915 Loss: 0.437, Base Lr: 9.76e-03
2024-11-19 23:08:02,050 clip_ViT-B-16_train INFO: STAGE1-Epoch[12] Iteration[200/689] Domain_Acc: 0.914 Loss: 0.436, Base Lr: 9.76e-03
2024-11-19 23:08:09,339 clip_ViT-B-16_train INFO: STAGE1-Epoch[12] Iteration[300/689] Domain_Acc: 0.915 Loss: 0.436, Base Lr: 9.76e-03
2024-11-19 23:08:16,632 clip_ViT-B-16_train INFO: STAGE1-Epoch[12] Iteration[400/689] Domain_Acc: 0.915 Loss: 0.428, Base Lr: 9.76e-03
2024-11-19 23:08:23,922 clip_ViT-B-16_train INFO: STAGE1-Epoch[12] Iteration[500/689] Domain_Acc: 0.916 Loss: 0.428, Base Lr: 9.76e-03
2024-11-19 23:08:31,221 clip_ViT-B-16_train INFO: STAGE1-Epoch[12] Iteration[600/689] Domain_Acc: 0.917 Loss: 0.433, Base Lr: 9.76e-03
2024-11-19 23:08:44,945 clip_ViT-B-16_train INFO: STAGE1-Epoch[13] Iteration[100/689] Domain_Acc: 0.921 Loss: 0.423, Base Lr: 9.71e-03
2024-11-19 23:08:52,239 clip_ViT-B-16_train INFO: STAGE1-Epoch[13] Iteration[200/689] Domain_Acc: 0.921 Loss: 0.417, Base Lr: 9.71e-03
